日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-11-30,=1475.7100,=1487.3200,=2721062934318.2490,=1161097360291,=931881669954.1200,=90.7880,=0.6839,=94.8269,=87.8513,=83.1274
2021-11-29,=1471.2300,=1482.8000,=2708881140357.1401,=1155676880567,=928954740464.9902,=88.3640,=0.5427,=94.8269,=87.8377,=83.1274
2021-11-26,=1459.9300,=1471.4100,=2698394899291.9097,=1149369272292,=921710263934.5500,=87.7137,=0.4924,=94.8532,=87.8375,=83.0919
2021-11-25,=1468.0700,=1479.6200,=2715712183121.7197,=1155046752261,=926260367960.6500,=86.8239,=0.4356,=94.8532,=87.8377,=83.0919
2021-11-24,=1472.2200,=1483.8000,=2719381995925.5811,=1158059115512,=928854864691.6700,=88.3297,=0.5323,=94.8532,=87.8513,=83.0919
2021-11-23,=1476.2500,=1487.8600,=2728296264829.5811,=1141722696720,=931707249863.2400,=91.0305,=0.6975,=94.8532,=87.8377,=83.0919
2021-11-22,=1479.9900,=1491.6300,=2733004182971.4995,=1145614656975,=935247804099.1396,=88.5052,=0.5573,=94.8532,=87.8375,=83.0919
2021-11-19,=1444.7800,=1456.1500,=2676716290145.2798,=1122371951055,=915315424838.8000,=85.2205,=0.3354,=95.0846,=87.8373,=83.0512
2021-11-18,=1423.9700,=1435.1700,=2637823200029.5698,=1102942241268,=899726451761.2301,=82.0282,=0.1526,=95.0846,=87.8375,=83.0512
2021-11-17,=1436.1600,=1447.4500,=2662383773370.8096,=1110838619382,=906587061115.9702,=82.0506,=0.1563,=95.0846,=87.8377,=83.0919
2021-11-16,=1421.2700,=1432.4500,=2635205479243.1001,=1097278558083,=896393642596.9199,=81.0370,=0.1034,=95.0846,=87.8513,=83.1274
2021-11-15,=1432.6000,=1443.8700,=2659229174560.6899,=1106687863741,=904483407465.1600,=83.9224,=0.2642,=95.0846,=87.8648,=83.1455
2021-11-12,=1440.1600,=1451.4800,=2660949872017.9102,=1110186175146,=907295898186.3400,=84.0100,=0.2681,=95.6117,=87.9294,=83.1274
2021-11-11,=1437.1500,=1448.4500,=2662185044182.1704,=1105598857017,=859892408867.1101,=83.2298,=0.2089,=95.6117,=87.9941,=83.1274
