日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=7.3494,=0.7943,=7.4176,=5.6130,=4.6107
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=7.1401,=0.7816,=7.4176,=5.6129,=4.6107
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=7.2184,=0.7884,=7.4788,=5.6128,=4.6104
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=7.6089,=0.8057,=7.4788,=5.6125,=4.6104
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=7.6908,=0.8098,=7.4176,=5.6121,=4.6104
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=7.6771,=0.8097,=7.4111,=5.6120,=4.6104
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=7.4111,=0.8004,=7.3996,=5.6120,=4.6104
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=7.2728,=0.7926,=7.3996,=5.6116,=4.6095
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=6.6324,=0.7286,=7.3996,=5.6112,=4.6095
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=6.6165,=0.7235,=7.3996,=5.6108,=4.6095
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=6.6332,=0.7289,=7.3996,=5.6105,=4.6095
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=6.8279,=0.7611,=7.3996,=5.6090,=4.6095
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=6.6888,=0.7398,=7.4176,=5.6074,=4.6084
