date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-07-17,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-20,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-21,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-22,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-23,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-24,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-27,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-28,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-29,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-30,2015,7,587596708400.0,3390879358.0,590987587758.0,390176660654.0,675723881.0,390852384535.0,977773369054.0,4066603239.0,981839972293.0,9777.73369054,9818.39972293,9746397185.0,38697420.0,428137439.0,8148260700.0,5840577.0,50553139.0
2015-07-31,2015,7,599650337034.0,3990578093.0,603640915127.0,396234174010.0,1074537665.0,397308711675.0,995884511044.0,5065115758.0,1000949626802.0,9958.84511044,10009.49626802,19593413352.0,92769980.0,525219014.0,18358093850.0,16916571.0,76915066.0
2015-08-03,2015,8,599650337034.0,3990578093.0,603640915127.0,396234174010.0,1074537665.0,397308711675.0,995884511044.0,5065115758.0,1000949626802.0,9958.84511044,10009.49626802,19593413352.0,92769980.0,525219014.0,18358093850.0,16916571.0,76915066.0
2015-08-04,2015,8,599650337034.0,3990578093.0,603640915127.0,396234174010.0,1074537665.0,397308711675.0,995884511044.0,5065115758.0,1000949626802.0,9958.84511044,10009.49626802,19593413352.0,92769980.0,525219014.0,18358093850.0,16916571.0,76915066.0
