date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2017-01-09,922805.6767934446,1890651.0428127148,1957823.737968366,2199243.17110684,1855284.804813259,1847676.3711699387,1847676.3711699387,1732301.8064763856,1698740.874539804
2017-01-10,920368.0859836607,1892726.720757064,1960130.468712354,2202588.973714704,1860311.5569876737,1856254.5958295143,1856254.5958295143,1732993.0905933166,1698810.1983191778
2017-01-11,913613.36691353,1885649.95215342,1953176.5492105428,2194229.30270582,1855961.3916893487,1854284.0974428125,1854284.0974428125,1729053.5526719033,1694454.6619316386
2017-01-12,909017.3489954354,1878728.830100579,1946417.8912751789,2183669.265646945,1854442.8727410363,1855779.2516710085,1855779.2516710085,1725050.482814563,1689829.9950565496
2017-01-13,910627.2398691098,1866209.8951378958,1932403.7021838734,2167947.6290146546,1844768.8076791023,1847703.7510009157,1847703.7510009157,1717909.6489012514,1683067.9538379693
2017-01-16,909538.9439547954,1843572.3735742588,1906225.5786112791,2145259.2116252757,1832407.188092913,1847774.9217094139,1847774.9217094139,1703682.264217833,1669804.87584803
2017-01-17,910878.9847437997,1853834.0856340013,1917033.9438807203,2159394.784022366,1840674.3333370583,1856055.9725888178,1856055.9725888178,1709246.4671004757,1675082.3362554554
2017-01-18,916805.7710138153,1859717.1632103974,1924584.6576137622,2156429.5551449847,1848082.2259070782,1857009.5751396723,1857009.5751396723,1713302.325316864,1678809.5435218287
2017-01-19,913558.986121009,1851814.0059489736,1917121.6071422833,2143420.572153431,1839750.3164304588,1845035.4516599833,1845035.4516599833,1709651.7162665497,1675256.6470773194
2017-01-20,921374.261664745,1863980.13719637,1929244.4508872866,2159511.7004919415,1848024.956930239,1851344.8508019987,1851344.8508019987,1716277.7302904055,1682093.5379182277
2017-01-23,906795.8062213315,1870030.6702454716,1936501.4106610715,2175176.5042532166,1850072.0494820848,1856683.700417821,1856683.700417821,1719571.7777486162,1685001.634557729
2017-01-24,907326.4090447704,1864411.7151400058,1930121.9231562025,2168810.463765547,1845333.7824032074,1852848.6575429833,1852848.6575429833,1716326.0013074686,1681933.6574341182
2017-01-25,910015.3751087164,1865885.6029633316,1933102.4449188942,2162445.9778498323,1844898.957573359,1844048.861481497,1844048.861481497,1718330.0561779689,1684046.4751070752
2017-01-26,913783.4640629385,1872026.3087864418,1940259.0696977326,2165681.7998448703,1848818.424483508,1842778.9164300917,1842778.9164300917,1722341.5883978792,1688042.0104975433
2017-02-03,908378.5707964818,1873568.4289047918,1941664.979003038,2174972.258136507,1852841.9638898878,1851906.245556527,1851906.245556527,1721310.4380202803,1687100.708668052
2017-02-06,908099.770398996,1884044.8869658506,1952061.4016800828,2194696.283090574,1861335.454636268,1869343.6648868704,1869343.6648868704,1726131.3718587293,1691800.238688765
2017-02-07,906472.0453044331,1881407.5302652947,1949016.7194577737,2201207.4929175894,1858814.9094113342,1876017.9983011067,1876017.9983011067,1723499.5970166305,1689234.4824662968
2017-02-08,912668.0695029922,1888391.5794341755,1956128.0010580425,2208792.408070369,1863852.0655748341,1881663.5651808877,1881663.5651808877,1727606.2011095656,1693363.2967700392
2017-02-09,915896.3835193617,1899256.4523765463,1967423.1974045513,2221287.5106341843,1875136.4102426872,1892588.190223475,1892588.190223475,1732940.0493070183,1698594.7353980972
2017-02-10,920743.3016355091,1898525.8290055392,1966819.7393850135,2212840.1793424864,1872857.9706652279,1883718.182394947,1883718.182394947,1733984.0048977747,1699635.4576203567
2017-02-13,925590.1237465753,1910085.7654785393,1979115.2037434275,2220123.802759553,1885620.477532255,1889681.9170267528,1889681.9170267528,1740217.7596957318,1705671.1957132085
2017-02-14,926660.0320932673,1906433.479229389,1975023.3236607441,2221365.2096074973,1880347.1401546448,1890667.8039869894,1890667.8039869894,1738114.085152275,1703580.835158577
2017-02-15,923413.5987506045,1896437.260879603,1965034.8128247263,2205902.2906007627,1873042.3534169565,1877742.2224370653,1877742.2224370653,1732865.7769019702,1698429.3329516253
2017-02-16,927450.9479748139,1902196.4876859102,1970565.851244018,2220247.3634791677,1876563.8355427138,1890081.3194225566,1890081.3194225566,1735348.4689543103,1700739.523072903
2017-02-17,922046.4535997492,1903611.1074712635,1972568.8650904314,2217119.6876610885,1882763.5622899313,1888732.4952154534,1888732.4952154534,1735336.5662176688,1700749.8338833677
2017-02-20,937143.9772911469,1922666.2984139062,1992520.7374111118,2229403.8597841547,1899714.6039306608,1897123.7209473485,1897123.7209473485,1746708.0987581292,1711839.5584645076
2017-02-21,937404.4395765533,1935736.0822274126,2006105.9597671255,2240192.280660957,1912010.576951641,1906026.182891283,1906026.182891283,1753994.3869444055,1719146.8030318958
2017-02-22,940092.7066619297,1944121.5635980843,2014934.8710183434,2244948.8428860167,1920126.0862020315,1909556.5447173598,1909556.5447173598,1758866.2229375443,1723959.5415327887
2017-02-23,936037.0702736798,1948061.9740505607,2019057.4658016213,2247841.678212412,1924375.2221581533,1912327.3563052986,1912327.3563052986,1760949.5662564763,1726149.0972736492
2017-02-24,935218.5302403881,1948934.078724825,2019507.4086752736,2262421.2558214553,1925340.8649757504,1926369.8166685065,1926369.8166685065,1759557.7311899771,1724691.6525826782
2017-02-27,927926.0390349105,1940175.6165975772,2010486.6391627158,2256361.743183073,1919114.6214338073,1922605.9303145027,1922605.9303145027,1753988.9549540298,1719030.5864324765
2017-02-28,929265.5631273433,1940142.786446607,2010271.3875085278,2256229.63055541,1916888.2032622204,1921732.9769848888,1921732.9769848888,1754581.1517105172,1719702.670382434
2017-03-01,930335.3173005987,1939553.4939909938,2007951.388083952,2248730.7211075793,1919865.8732123845,1915938.123256383,1915938.123256383,1755286.007283754,1720395.090166791
2017-03-02,927089.2006256591,1933582.7546953508,2002764.8757093167,2244138.4790313216,1911305.3369893916,1913510.865545477,1913510.865545477,1751729.5347584481,1716897.9020006428
2017-03-03,923573.4104671989,1929666.4288257586,1997143.8592632746,2236981.0246498664,1911011.192754762,1904728.508944807,1904728.508944807,1750786.893586191,1715785.8316139753
2017-03-06,928149.746857905,1938505.9011150575,2005292.4330728983,2241334.757224787,1922234.1686538244,1911651.5218214977,1911651.5218214977,1755898.5508715198,1720600.5014780748
2017-03-07,929489.201834591,1940860.0995219576,2006546.658976735,2242210.839087831,1927702.6171225999,1909538.9237249263,1909538.9237249263,1757746.7862671241,1722394.951752752
2017-03-08,930558.9002725951,1934693.7290520624,2000218.8028251696,2230788.346297019,1922378.60910259,1903810.994775499,1903810.994775499,1754791.6818137572,1719349.731887078
2017-03-09,922188.1247958936,1921401.725912394,1987264.9313916035,2223458.814131786,1906907.8903544494,1891358.502698961,1891358.502698961,1747529.7871023137,1712710.553916447
2017-03-10,922988.1496562083,1921951.0827348516,1986169.814566558,2220304.2203765633,1911876.290567315,1886111.405221898,1886111.405221898,1748836.2638702898,1712867.7301542424
2017-03-13,932958.7012502057,1941010.4123955655,2006024.3196191941,2240342.06889048,1930538.433508943,1906056.1701222148,1906056.1701222148,1758183.614607908,1722165.1911928188
2017-03-14,930791.6921342469,1933190.6482945457,1998254.2414471093,2230161.9137334535,1922315.7684350067,1899544.3054670587,1899544.3054670587,1754192.694663143,1718046.8215231514
2017-03-15,932400.7571777161,1935424.2886168868,2000371.1291778106,2234384.930817053,1925293.7300248872,1899874.0128920854,1899874.0128920854,1755293.493396372,1719274.166356366
2017-03-16,938055.4978849085,1952164.6231466846,2019005.0073331692,2256219.9985787175,1937800.960499302,1922096.613060231,1922096.613060231,1762718.8430550147,1726454.574020551
2017-03-17,927527.4556035309,1942824.8688514873,2010453.3330403513,2258518.4955367665,1924516.702789841,1914449.562018279,1914449.562018279,1757114.758898166,1721552.6123716205
2017-03-20,928057.6708981262,1947074.9054566943,2015216.2493076844,2264096.8403872717,1927351.3336380185,1920651.7398125452,1920651.7398125452,1758992.4965425332,1723208.1376602713
2017-03-21,934521.4032681437,1961286.6872335877,2026908.9615549736,2284442.9439845597,1949609.0008205594,1919745.9993895304,1919745.9993895304,1767361.966566716,1731798.1257875687
2017-03-22,929657.4755821225,1961363.8115748186,2028839.4361881772,2294764.0768583897,1943822.224998081,1925478.9044332467,1925478.9044332467,1766066.4936349397,1730352.9709427175
2017-03-23,932345.2573605852,1967934.4324519068,2035075.0290227109,2304470.291989826,1951821.188405551,1928736.5118695032,1928736.5118695032,1769471.4759718839,1733761.1222534892
2017-03-24,941236.0349481852,1977058.162940045,2043203.885288707,2307588.6872240584,1965308.0315601812,1933292.1401589946,1933292.1401589946,1774811.5561055772,1739082.1750124937
2017-03-27,936911.57506585,1980543.1362192794,2048413.0623283044,2327937.2699176064,1963565.3748836564,1939013.348028127,1939013.348028127,1775063.9786600575,1739074.581871941
2017-03-28,935553.8180527409,1978068.2249589383,2045548.0945188857,2326379.8856240525,1961946.9676835707,1934722.7210534206,1934722.7210534206,1773960.1139049353,1737994.1826956754
2017-03-29,933656.7083629121,1968128.615415461,2036075.4162415832,2309305.3447450176,1950458.0874226175,1929668.7230809343,1929668.7230809343,1768874.3399812982,1732874.9698669836
2017-03-30,924747.7718990401,1957152.849199877,2025793.7465029606,2311958.7623016937,1936438.6229202978,1918196.5529054394,1918196.5529054394,1762370.9228425599,1726489.334135902
2017-03-31,931480.7075537145,1960887.8398697355,2027619.0454588332,2310126.2427414064,1946715.1777948793,1913432.165502437,1913432.165502437,1765415.0792594906,1729986.303926434
2017-04-05,946843.3254839171,1989736.5899726993,2057015.6493158217,2334872.8652300877,1977633.1163899105,1934233.8864329825,1934233.8864329825,1780388.7502309063,1744622.1145774997
2017-04-06,945755.2157908241,1986039.4175721875,2053717.1165692648,2329322.889709497,1972278.3287372217,1931564.5567877747,1931564.5567877747,1778204.6823850216,1742425.7754756864
2017-04-07,947633.5682602621,1985662.2517588302,2055154.815431297,2327381.981475254,1965913.401574208,1936078.9911424324,1936078.9911424324,1776509.099996534,1740810.6798184444
2017-04-10,945197.1033560339,1979770.0788973507,2048948.5340665726,2318972.0298249563,1960709.2686281765,1928885.1738170658,1928885.1738170658,1773870.1273650539,1738138.954188146
2017-04-11,947614.7660383622,1990068.7748342135,2058691.2919772007,2326390.0850310447,1972928.9996806916,1934373.4088390996,1934373.4088390996,1779680.4811938514,1743826.2702187104
2017-04-12,944099.6758670053,1988964.8281166593,2058857.589002468,2330711.827732961,1964942.9995119348,1943038.2366072428,1943038.2366072428,1777204.3301224876,1741285.3239164443
2017-04-13,947595.964122206,1998041.5803599805,2068003.9047784158,2340387.7103494504,1974380.9506282604,1950910.9941747033,1950910.9941747033,1781774.197463828,1745808.304576009
2017-04-14,939766.334865593,1987685.093951951,2058073.446452899,2334584.987501786,1959368.7247909962,1948963.0545328786,1948963.0545328786,1775332.0453416274,1739182.397780215
2017-04-17,936521.0875348261,1970575.5850429952,2042142.1697892162,2316568.012899239,1938496.991579662,1937243.209390202,1937243.209390202,1765774.9404353772,1729941.1024761829
2017-04-18,934354.5352918854,1971132.7127102902,2041784.3728263527,2320992.138753268,1941283.4951595117,1937737.4383933747,1937737.4383933747,1766490.2934409818,1730590.0637047687
2017-04-19,927064.5812110683,1961122.152365616,2031759.404557286,2314371.742350484,1928610.1140715883,1933547.3055614906,1933547.3055614906,1760728.8921886943,1724966.8392905802
2017-04-20,932178.7776970777,1970893.9168646885,2040862.1066915416,2330103.5187848425,1942571.1316592004,1941296.7690387794,1941296.7690387794,1766343.541268813,1730894.5385762695
2017-04-21,932978.4787876332,1965483.5030804933,2035716.9670800478,2326376.2865911503,1937532.5219399978,1937182.2007074524,1937182.2007074524,1763538.290519085,1728319.5090146677
2017-04-24,922992.2855588308,1936234.87666713,2007229.5908940076,2301132.704053987,1904131.6265533196,1918077.686350203,1918077.686350203,1747564.251962005,1713244.8778581142
2017-04-25,925949.2156965608,1944693.930002416,2015237.696434037,2312156.555195749,1914787.1750551467,1924708.5082693736,1924708.5082693736,1752268.137283994,1718183.1531592044
2017-04-26,928097.1624022715,1946527.0374778165,2016417.449739729,2313634.950727548,1920166.1650404024,1922626.064459847,1922626.064459847,1754059.140320265,1719832.318606108
2017-04-27,928627.2329290144,1949309.3341516252,2019400.5504717603,2315304.470668481,1922009.5074404357,1925335.5499300275,1925335.5499300275,1755282.702487646,1720842.6400536634
2017-04-28,925112.7491528231,1946074.5812243442,2016581.0480387707,2307568.724531059,1915486.9584555756,1923210.4345267247,1923210.4345267247,1753106.5347171298,1717976.9348860488
2017-05-02,923755.4036399937,1940355.018765891,2010050.319815241,2299361.9154346217,1908036.0824703122,1911606.830725041,1911606.830725041,1750377.836595977,1715445.5584816588
2017-05-03,919162.5143964107,1934551.0024536627,2004147.958198708,2290789.1336902473,1900922.292863896,1907841.680916595,1907841.680916595,1746712.5039399883,1711824.0486846333
2017-05-04,915648.229194667,1922602.545951531,1990800.8325792504,2275579.707846346,1888301.3421953553,1887191.2634286333,1887191.2634286333,1741364.6400238494,1706553.0131366255
2017-05-05,909707.3841807838,1909526.3228088026,1978400.7507543429,2263643.0191239496,1878396.1451775802,1882624.0965260665,1882624.0965260665,1733815.1123531896,1699161.1116782045
2017-05-08,901879.297616183,1892608.3445093094,1961703.2179393722,2250856.8466326296,1867786.0370835196,1874088.3651796433,1874088.3651796433,1725067.5808721867,1690716.8611127518
2017-05-09,902679.2107575351,1892647.9999081646,1962044.53029911,2248053.432218994,1865459.732633825,1873815.3477669351,1873815.3477669351,1724422.75398655,1689994.8816439477
