date,year,month,volatility_20d
2022-11-02,2022,11,24.61983745848794
2022-11-03,2022,11,24.697780840260496
2022-11-04,2022,11,27.82217014333325
2022-11-07,2022,11,26.78783336925745
2022-11-08,2022,11,26.890499702379817
2022-11-09,2022,11,26.470016963538267
2022-11-10,2022,11,26.37540377047344
2022-11-11,2022,11,26.76196858403574
2022-11-14,2022,11,26.76461455832021
2022-11-15,2022,11,27.6817390015524
2022-11-16,2022,11,27.23239190185332
2022-11-17,2022,11,27.260229407883585
2022-11-18,2022,11,27.19628958322444
2022-11-21,2022,11,25.588295250337417
2022-11-22,2022,11,25.50250467265901
2022-11-23,2022,11,25.419757882946985
2022-11-24,2022,11,25.328458054195245
2022-11-25,2022,11,23.54246421280578
2022-11-28,2022,11,23.61636696692524
2022-11-29,2022,11,22.125806700472687
2022-11-30,2022,11,22.00461448636648
2022-12-01,2022,12,21.87266032888557
2022-12-02,2022,12,18.76514791841565
2022-12-05,2022,12,19.66648173561189
2022-12-06,2022,12,19.45430284550608
2022-12-07,2022,12,18.94776027916911
2022-12-08,2022,12,18.66876176318258
2022-12-09,2022,12,16.799135318388757
2022-12-12,2022,12,17.419006449557617
2022-12-13,2022,12,16.23569316781933
2022-12-14,2022,12,15.9298560986775
2022-12-15,2022,12,15.79799696991642
2022-12-16,2022,12,15.68691980730375
2022-12-19,2022,12,16.337355812723402
2022-12-20,2022,12,17.484267505462686
2022-12-21,2022,12,17.494319623190798
2022-12-22,2022,12,17.375716064577055
2022-12-23,2022,12,17.34410858089834
2022-12-26,2022,12,16.70821325305733
2022-12-27,2022,12,13.386527151945971
2022-12-28,2022,12,13.454433062953678
2022-12-29,2022,12,12.827928718206088
2022-12-30,2022,12,12.754677623215889
2023-01-03,2023,1,10.923861017967765
2023-01-04,2023,1,10.688292415341976
2023-01-05,2023,1,12.75868214894178
2023-01-06,2023,1,12.80997368035554
2023-01-09,2023,1,12.642554098178923
2023-01-10,2023,1,12.01790543610949
2023-01-11,2023,1,11.951005561179675
2023-01-12,2023,1,11.938440734607228
2023-01-13,2023,1,12.957720400261168
2023-01-16,2023,1,12.97330273638412
2023-01-17,2023,1,11.573228772668555
2023-01-18,2023,1,9.566945584429767
2023-01-19,2023,1,9.55420607272979
2023-01-20,2023,1,9.57306373700031
2023-01-30,2023,1,9.327371616130286
2023-01-31,2023,1,10.710849459016542
2023-02-01,2023,2,10.326744083502636
2023-02-02,2023,2,10.258082695563465
2023-02-03,2023,2,11.115348292255034
2023-02-06,2023,2,12.536917655807777
2023-02-07,2023,2,12.53391745093488
2023-02-08,2023,2,12.710261852852415
2023-02-09,2023,2,11.799227596674193
2023-02-10,2023,2,12.007072406020944
2023-02-13,2023,2,12.117602420943202
2023-02-14,2023,2,12.12519221345537
2023-02-15,2023,2,12.421982760162
2023-02-16,2023,2,12.70001453341893
2023-02-17,2023,2,12.34478602838194
2023-02-20,2023,2,15.7317825139328
2023-02-21,2023,2,15.734164532110398
2023-02-22,2023,2,16.09485656468513
2023-02-23,2023,2,15.876190376014064
2023-02-24,2023,2,15.9949494979137
2023-02-27,2023,2,15.784045580595492
2023-02-28,2023,2,15.667017164977462
2023-03-01,2023,3,16.074995451029412
2023-03-02,2023,3,16.06496660626774
2023-03-03,2023,3,15.686996947973835
2023-03-06,2023,3,15.02033476068008
2023-03-07,2023,3,15.807533898986254
2023-03-08,2023,3,15.801685168737697
2023-03-09,2023,3,14.94415158057712
2023-03-10,2023,3,15.509568867187143
2023-03-13,2023,3,15.82015907361031
2023-03-14,2023,3,15.839442864770314
2023-03-15,2023,3,15.746744137590284
2023-03-16,2023,3,16.03113100193348
2023-03-17,2023,3,15.531506249488844
2023-03-20,2023,3,11.879484437976444
2023-03-21,2023,3,12.749456341106365
2023-03-22,2023,3,12.610808740086538
2023-03-23,2023,3,13.178506226069114
2023-03-24,2023,3,12.774178091796331
2023-03-27,2023,3,12.83764797697367
2023-03-28,2023,3,12.583449540348518
2023-03-29,2023,3,11.633389543588294
2023-03-30,2023,3,12.4204678346434
2023-03-31,2023,3,12.430353115884458
2023-04-03,2023,4,12.603295790065614
2023-04-04,2023,4,11.620944395016808
2023-04-06,2023,4,11.57131147608304
2023-04-07,2023,4,11.710547533525224
2023-04-10,2023,4,10.486602251671744
2023-04-11,2023,4,9.97689382745606
2023-04-12,2023,4,9.632537386190505
2023-04-13,2023,4,9.981012891799088
2023-04-14,2023,4,8.880349186592843
2023-04-17,2023,4,9.960935147049522
2023-04-18,2023,4,9.516536439893883
2023-04-19,2023,4,9.718813035515414
2023-04-20,2023,4,9.863129726820793
2023-04-21,2023,4,11.501753291926804
2023-04-24,2023,4,12.349142189553756
2023-04-25,2023,4,12.328053399815657
2023-04-26,2023,4,12.33276671574924
2023-04-27,2023,4,12.777986431433202
2023-04-28,2023,4,12.672402121957033
2023-05-04,2023,5,12.634647828726592
2023-05-05,2023,5,12.359199465350306
2023-05-08,2023,5,12.939542291453368
2023-05-09,2023,5,13.234786426462884
2023-05-10,2023,5,13.103820393317758
2023-05-11,2023,5,13.080816745301766
2023-05-12,2023,5,13.689272940947916
2023-05-15,2023,5,15.10716614101442
2023-05-16,2023,5,15.03965143797647
2023-05-17,2023,5,14.986471933382298
2023-05-18,2023,5,13.674407693245223
2023-05-19,2023,5,13.595266514500809
2023-05-22,2023,5,13.692417142121275
2023-05-23,2023,5,14.385370353636809
2023-05-24,2023,5,13.854222424072224
2023-05-25,2023,5,13.293669510701678
2023-05-26,2023,5,13.280865441832637
2023-05-29,2023,5,13.314539920596562
2023-05-30,2023,5,12.789213259598952
2023-05-31,2023,5,12.27392158236628
2023-06-01,2023,6,12.360403797927663
