日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2014-01-24,=5394.0800,=5859.5200,=1126106483807,=927122723260,=474576894618.1299,=3.2178,=0.0163,=6.5270,=5.4978,=3.8376
2014-01-23,=5370.1830,=5833.5600,=1122051793169.5000,=921740444320,=472428106801.5100,=3.2062,=0.0145,=6.5270,=5.4984,=3.8444
2014-01-22,=5376.7280,=5840.6700,=1124785905226.2000,=923559783785,=472845092211.3300,=3.2140,=0.0145,=6.5270,=5.4997,=3.8510
2014-01-21,=5232.1800,=5683.6500,=1094141728301.8002,=897604267903,=460070528704.7999,=3.1267,=0.0018,=6.5270,=5.5010,=3.8534
2014-01-20,=5218.9010,=5669.2300,=1089725382482.1000,=895265622003,=459028879105.6701,=3.1141,=0,=6.5270,=5.5014,=3.8546
2014-01-17,=5247.9860,=5700.8200,=1093810922168.1000,=895617327308,=461346931895.1299,=3.1258,=0,=6.5315,=5.5017,=3.8546
2014-01-16,=5369.7630,=5833.1100,=1118246945541.0002,=915439588189,=472205287364.9299,=3.1956,=0.0100,=6.5315,=5.5018,=3.8614
2014-01-15,=5342.2920,=5803.2700,=1108520218852.1001,=908708184840,=469901639272.8801,=3.1678,=0.0036,=6.5315,=5.5019,=3.8643
2014-01-14,=5345.9840,=5807.2800,=1111630032182.0002,=911597235806,=470364959481.6800,=3.1767,=0.0055,=6.5315,=5.5042,=3.8682
2014-01-13,=5279.7330,=5735.3100,=1098224623551.9000,=899842000208,=464504786217.4699,=3.1384,=0.0009,=6.5315,=5.5065,=3.8711
