日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2012-01-13,=5459.7810,,=1122197606734.3003,=887165226299,=442828260268.1701,=29.7298,=0.0049,=58.0356,=51.5273,=43.0662
2012-01-12,=5581.4290,,=1143247851637.7000,=904429926569,=452182734484.9500,=30.5871,=0.0065,=58.0356,=51.5369,=43.0712
2012-01-11,=5627.0900,,=1152355142669.3000,=910775840140,=455256584728,=30.8020,=0.0065,=58.0356,=51.5445,=43.0834
2012-01-10,=5642.0060,,=1158944413325.3003,=916488040773,=457224471644.3500,=30.9189,=0.0065,=58.0356,=51.5521,=43.0946
2012-01-09,=5424.9140,,=1114941454458.6001,=882072904742,=439743419002.0102,=29.6359,=0.0033,=58.0356,=51.5678,=43.1323
2012-01-06,=5310.4330,,=1093545418562.7000,=865746803217,=431269724852.3600,=28.7297,=0,=58.0991,=51.5834,=43.1323
2012-01-05,=5293.2890,,=1087620749100.6000,=851260371947,=429514706313.5900,=28.7961,=0,=58.0991,=51.5962,=43.1851
2012-01-04,=5435.7990,,=1113018390631.2000,=871002269070,=440267697409.9699,=29.8824,=0,=58.0991,=51.6090,=43.2635
2011-12-30,=5626.7840,,=1159300987857.6001,=922207039654,=456737865613.7400,=31.8158,=0.0049,=58.0991,=51.6110,=43.2657
2011-12-29,=5527.1630,,=1138561719795.3003,=906525492187,=448978234409.5699,=31.2415,=0.0016,=58.0991,=51.6131,=43.3200
2011-12-28,=5482.6110,,=1128982981255.8999,=898387902557,=445200574085.6801,=31.1795,=0,=58.4264,=51.6131,=43.3200
2011-12-27,=5511.4010,,=1134955673416.0002,=902732964345,=447057235381.2400,=31.4793,=0,=58.4264,=51.6131,=43.3519
2011-12-26,=5689.0210,,=1169168308168.1003,=929485314692,=461359727016.5402,=32.5131,=0,=58.4264,=51.6262,=43.3541
2011-12-23,=5784.9760,,=1191973252535.3999,=947654224210,=469894416379.2801,=32.7631,=0.0017,=58.4264,=51.6393,=43.3621
2011-12-22,=5769.1910,,=1188895140892.3999,=944942368854,=468419286256.7399,=32.6003,=0,=58.4264,=51.6393,=43.4666
2011-12-21,=5791.0600,,=1190050545593.7002,=946607064267,=469601127444.9899,=32.8891,=0,=58.5654,=51.6394,=43.4666
2011-12-20,=5883.7400,,=1209574229212.7998,=960970340376,=477409151855.4200,=33.5072,=0.0017,=58.5654,=51.6484,=43.5151
2011-12-19,=5909.9280,,=1215058365488,=951303629275,=479319854544.8099,=33.6396,=0.0017,=58.5654,=51.6574,=43.6354
2011-12-16,=5948.9900,,=1223715517284.3000,=957246187141,=482310944944.2501,=33.7964,=0.0033,=58.5654,=51.6810,=43.6654
2011-12-15,=5857.6880,,=1196048505828.9004,=937480304164,=474464852979.0198,=33.0354,=0,=58.5654,=51.7046,=43.7037
2011-12-14,=5937.2870,,=1213328166984.3000,=941258673521,=480365533328.7498,=33.6989,=0,=58.6394,=51.7081,=43.7037
