date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,SASF硬切换,PPO原生日频
2024-12-19,1066777.5816305706,2551110.219159539,3033214.688892741,3266220.8735715463,2429429.014241376,3324703.508085832,2910594.2707506213,2788940.25784371,4162936.0141969016,2867592.738864429
2024-12-20,1063590.4895917093,2569425.1674703625,3047133.7334898305,3277366.3940938124,2469111.5871193307,3340907.4807319324,2920339.224271783,2808109.0795551757,4183225.372672765,2886958.9783349913
2024-12-23,1064638.7638723676,2557363.0366507685,3048973.9129000828,3272758.32111674,2458060.1009932035,3344409.942804501,2925299.57644181,2797591.839565585,4187610.8841822254,2876454.659774947
2024-12-24,1077069.2815179096,2577323.3518474945,3049830.6157343388,3275658.5452394285,2477700.540631204,3343164.139613077,2924021.2686375882,2816625.462146484,4186050.985995946,2895751.692961754
2024-12-25,1077852.6999795663,2575571.420508417,3047428.8848200273,3267782.204366555,2486008.3411540235,3341214.5333250863,2921835.737108997,2815211.0589282583,4183609.840128339,2894274.5619285214
2024-12-26,1078106.7055966232,2587021.5869768425,3050262.8875742042,3271282.461854579,2506615.939186308,3344711.0800150516,2922565.7247421355,2826921.804306273,4187987.9448542427,2906063.6614277666
2024-12-27,1076507.8342444433,2584979.653879967,3057036.370207031,3281291.602502285,2495334.793830085,3352243.8068896723,2930027.6835849644,2825246.687879925,4197419.841537722,2904482.990210283
2024-12-30,1081526.3281588354,2585314.5064756228,3053098.580201622,3275556.39094356,2497801.107655431,3348274.922497971,2926605.2469255305,2824992.097533765,4192450.312155564,2904115.285662546
2024-12-31,1064575.3919267268,2541813.990435161,3043541.525833904,3261414.6169979097,2441088.9851717474,3338874.858900856,2922090.6506841113,2781421.286839931,4180680.281177162,2859964.166603436
2025-01-02,1034655.0794725348,2488461.770639788,3032657.6397901117,3223257.0967634455,2386922.7468871796,3339771.0951146884,2923295.3072694973,2729886.282854708,4181802.478691231,2806974.48515074
2025-01-03,1024057.4005632137,2465338.5260327253,3029031.8326414386,3211362.268644294,2370013.4623419796,3341447.9332381417,2925720.547881349,2708249.8519492866,4183902.085407175,2784393.2507108143
2025-01-06,1019812.3179219116,2453239.3170275525,3023472.665787162,3203166.7845393815,2357454.985849139,3336956.8724146564,2922693.00545672,2695308.5707934527,4178278.727174309,2771100.808172775
2025-01-07,1026948.5626837631,2486620.3381033535,3033609.4138186863,3237734.0365347024,2400038.108278311,3342190.9676687242,2924649.0514414324,2728977.5810196153,4184832.455523891,2806184.723679248
2025-01-08,1025350.309914335,2485640.988185277,3033828.5856105,3240267.556655634,2404093.0096592614,3342955.500714382,2925436.273969846,2728757.398981881,4185789.7445399105,2805828.4815992666
2025-01-09,1023222.739110053,2485024.0054015284,3032299.5668557147,3241647.1004945375,2409052.024502512,3341415.687653863,2924302.9664520277,2728949.533195127,4183861.7099860986,2805845.7931112144
2025-01-10,1011831.6833360996,2468778.6583688622,3024247.2322930424,3235136.2507861303,2403356.1659357534,3335567.381413589,2919359.257545945,2713650.4251925317,4176538.9142509378,2789503.6986350683
