日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-06-08,=8170.1600,=8768.7566,=1113974845778.1001,=851561221969,=515423531319.1186,=93.1257,=0.2680,=119.1773,=99.1077,=92.0350
2020-06-05,=8282.4452,=8889.2685,=1128792522833.6001,=845643557879,=522526511639.0750,=94.3644,=0.3316,=119.1773,=99.1996,=92.0350
2020-06-04,=8112.6096,=8706.9897,=1104982962626,=828753732548,=511266459355.5825,=92.3740,=0.2240,=119.5201,=99.2916,=91.8410
2020-06-03,=8177.2405,=8776.3559,=1113153603352.7000,=834804513529,=515199171473.2609,=93.0570,=0.2618,=119.5201,=99.2954,=91.8410
2020-06-02,=8161.6813,=8757.4134,=1106934371243,=832599905491,=513960996289.6652,=92.5371,=0.2316,=119.5201,=99.2993,=91.8410
2020-06-01,=8105.4250,=8691.9337,=1102736851908.3999,=826433748668,=510465462000.4531,=92.1862,=0.2169,=119.5201,=99.3149,=91.8410
2020-05-29,=7693.8683,=8250.5968,=1049095635536.6000,=784455986256,=484380175682.2319,=87.7019,=0.0691,=119.5201,=99.3306,=91.8410
2020-05-28,=7722.7024,=8281.2848,=1051073064191.5000,=786579478874,=486245645729.4713,=87.8672,=0.0695,=122.5653,=99.3670,=91.8410
2020-05-27,=7774.1307,=8336.4329,=1058262493066.4998,=791024312302,=488827480094.9669,=88.4683,=0.0860,=122.5653,=99.4034,=92.0350
2020-05-26,=8000.3374,=8579.0011,=1090181335578.5000,=812909994137,=503162617725.8309,=91.1366,=0.1405,=122.5653,=99.5393,=92.0439
2020-05-25,=7790.4610,=8353.9443,=1057636891861,=791303516556,=490069938904.7686,=88.4160,=0.0815,=122.5653,=99.6752,=92.2048
2020-05-22,=7922.9932,=8496.0626,=1077707392285.8000,=804615917693,=498559096579.0554,=90.0938,=0.1148,=122.5653,=99.6808,=92.4606
2020-05-21,=8109.7977,=8696.3787,=1100928210307.5000,=825304789431,=510544904881.4779,=92.0350,=0.1813,=123.4326,=99.6864,=92.4606
2020-05-20,=8414.7037,=9022.5126,=1141620709720.3999,=857464975074,=529647242296.9515,=95.4368,=0.3260,=123.4326,=99.9235,=92.6094
2020-05-19,=8578.9775,=9198.6522,=1167596653604.8999,=870958901120,=539771252721.6822,=97.6083,=0.3889,=123.4326,=100.1607,=92.6094
2020-05-18,=8147.2546,=8735.7452,=1113086310478,=827423082649,=513093416845.4154,=93.0514,=0.2235,=123.4326,=100.5022,=92.6094
2020-05-15,=8526.2489,=9142.1149,=1172077479159.3999,=865271121770,=537626566927.9582,=97.9829,=0.3933,=123.4326,=100.8438,=92.6094
2020-05-14,=8205.1375,=8797.8091,=1128131484660.8999,=834408179789,=517043792200.9205,=94.3091,=0.2881,=124.0065,=101.0776,=92.4606
2020-05-13,=8227.3533,=8821.6296,=1132886378716.3000,=837875301112,=518450032032.2918,=94.7066,=0.2955,=124.0065,=101.3114,=92.4606
2020-05-12,=8197.2967,=8788.3636,=1128652611949,=834820746088,=516862517941.8686,=92.4606,=0.2000,=124.0065,=101.4053,=92.4606
2020-05-11,=8068.2265,=8649.9868,=1117630991312.6001,=825153521957,=509416526446.7410,=91.5576,=0.1724,=124.0065,=101.4991,=92.6094
