日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2019-10-28,=5104.7640,=5471.9853,=619765746300.5000,=476165833082,=270023028860.5532,=5.4291,=0.5333,=5.6452,=5.4135,=5.2846
2019-10-25,=4942.6538,=5298.2134,=604220917789.8000,=463463835093,=261612036421.7746,=5.3068,=0.2727,=5.6452,=5.4036,=5.2846
2019-10-24,=4882.1168,=5233.3216,=597621867036.8999,=458909510677,=256389299328.4364,=5.2934,=0.2326,=5.6452,=5.4135,=5.2846
2019-10-23,=4922.0139,=5276.0887,=601388328673.9001,=463126416278,=258451698572.8623,=5.3351,=0.3333,=5.6619,=5.4233,=5.2375
2019-10-22,=4941.6995,=5297.1904,=601721549952.8000,=463427289464,=259267700128.9116,=5.3396,=0.3659,=5.6619,=5.4270,=5.2375
2019-10-21,=4829.2939,=5176.6986,=586215350363.2000,=452505444495,=253381633703.8915,=5.2064,=0.0750,=5.6619,=5.4308,=5.2375
2019-10-18,=4826.1025,=5173.2777,=586744949897.6000,=452410661985,=253405099032.5760,=5.2111,=0.1026,=5.6619,=5.4369,=5.2846
2019-10-17,=4961.0363,=5317.9182,=603795245878.6000,=465801703336,=260400432081.8711,=5.3625,=0.3684,=5.6619,=5.4431,=5.3005
2019-10-16,=4981.1537,=5339.4828,=603764381631,=423809128627,=261348893381.1716,=5.3623,=0.3514,=5.6708,=5.4463,=5.2846
2019-10-15,=5025.9655,=5387.5183,=608421881425.3999,=427472467790,=263470463168.5427,=5.4036,=0.3889,=5.6708,=5.4496,=5.2846
2019-10-14,=5231.2481,=5607.5683,=632217997844.8999,=444375472836,=274144566017.7464,=5.6150,=0.6857,=5.6708,=5.4531,=5.2846
2019-10-11,=5076.2582,=5441.4289,=614384803006.2999,=432456135206,=266213717122.8673,=5.4566,=0.5294,=5.6708,=5.4496,=5.2846
2019-10-10,=5160.4281,=5531.6537,=623310418580.7001,=439320419586,=270361392538.0675,=5.5359,=0.5758,=5.6708,=5.4463,=5.2846
2019-10-09,=5078.6102,=5443.9501,=612863229308.3000,=431715517395,=266029593355.4655,=5.4431,=0.5000,=5.6949,=5.4431,=5.2375
2019-10-08,=4968.8403,=5326.2837,=599145585464.5000,=422270921280,=260413433973.3108,=5.3212,=0.3226,=5.6949,=5.4402,=5.2375
2019-09-30,=5038.0820,=5400.5064,=610635810722.6000,=429000069090,=264237628008.5614,=5.4233,=0.4333,=5.6949,=5.4496,=5.2375
2019-09-27,=5223.0660,=5598.7976,=638508727156.9999,=445835559678,=274142352693.6469,=5.6708,=0.7586,=5.6949,=5.4632,=5.2375
2019-09-26,=5134.7045,=5504.0797,=623941530148.9000,=438175108670,=269374170473.5294,=5.5415,=0.5714,=5.6949,=5.4496,=5.2375
2019-09-25,=5436.8535,=5827.9644,=658339044384.5999,=464173459295,=284792730655.9904,=5.8725,=0.8889,=5.7611,=5.4402,=5.2276
2019-09-24,=5706.5849,=6117.0994,=690557201276.5999,=486450187751,=298852951176.5564,=6.1599,=0.9615,=5.6949,=5.4308,=5.2276
2019-09-23,=5713.9023,=6124.9431,=691839614098.5000,=486700720686,=299066164039.8419,=6.1713,=1,=5.6619,=5.4050,=5.2276
2019-09-20,=5527.0587,=5924.6585,=666717530647.8000,=469058893520,=289575408829.6190,=5.9473,=1,=5.6452,=5.3791,=5.2276
