date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2021-04-27,14.31,1.66,22.16,2.08,,3.2078,3.780320195667364,0.8647506339814032,0.8351648351648352,0.38377007607776836,0.4463229078613694
2021-04-28,14.35,1.67,21.86,2.09,,3.1979,3.770741114982578,0.8702451394759088,0.8601014370245139,0.3727810650887574,0.4547759932375317
2021-04-29,14.14,1.67,21.09,2.1,,3.1872,3.8849357850070723,0.8334742180896028,0.8596787827557059,0.32713440405748095,0.4602704987320372
2021-04-30,13.52,1.62,20.24,2.07,,3.164,4.232449704142011,0.6910397295012679,0.7176669484361792,0.2713440405748098,0.4353338968723584
2021-05-06,13.41,1.61,20.29,2.08,,3.1507,4.306421551081282,0.6851225697379544,0.7007607776838546,0.2738799661876585,0.44759087066779374
2021-05-07,13.29,1.6,20.18,2.07,,3.1589,4.365554477050415,0.6686390532544378,0.6910397295012679,0.2688081149619611,0.4357565511411665
2021-05-08,,,,,,3.1582,,,,,
2021-05-10,13.31,1.6,20.28,2.08,,3.146,4.367148009015777,0.6692047377326565,0.6903553299492385,0.2749576988155668,0.44923857868020306
2021-05-11,13.38,1.61,20.21,2.07,,3.138,4.3358415545590425,0.6747038917089678,0.7000846023688664,0.27115059221658205,0.4365482233502538
2021-05-12,13.45,1.61,20.37,2.09,,3.131,4.303944237918216,0.6878172588832487,0.6996615905245347,0.2846869712351946,0.45981387478849406
2021-05-13,13.32,1.6,20.12,2.06,,3.1366,4.370907507507507,0.6679357021996616,0.6882402707275804,0.26311336717428085,0.42554991539763115
2021-05-14,13.6,1.63,20.37,2.09,,3.1422,4.210741176470589,0.6967005076142132,0.7356175972927242,0.2859560067681895,0.461082910321489
2021-05-17,13.77,1.65,20.54,2.11,,3.1524,4.109764124909224,0.7237732656514383,0.794839255499154,0.2952622673434856,0.47419627749576987
2021-05-18,13.78,1.65,20.61,2.11,,3.1457,4.11119404934688,0.7271573604060914,0.7944162436548223,0.30456852791878175,0.4746192893401015
2021-05-19,13.73,1.65,20.55,2.11,,3.1298,4.153521194464677,0.7093908629441624,0.7939932318104906,0.2986463620981388,0.4750423011844332
2021-05-20,13.76,1.65,20.42,2.09,,3.1001,4.1673418604651165,0.7178510998307953,0.7935702199661591,0.2910321489001692,0.46150592216582065
2021-05-21,13.63,1.64,20.41,2.09,,3.0876,4.249157153338224,0.6937394247038917,0.7529610829103215,0.29018612521150594,0.4619289340101523
2021-05-24,13.68,1.64,20.48,2.1,,3.085,4.224941520467836,0.6983925549915397,0.7525380710659898,0.29314720812182743,0.46954314720812185
2021-05-25,14.07,1.69,20.71,2.12,,3.085,4.02232054015636,0.8176818950930627,0.9090524534686971,0.3142978003384095,0.4860406091370558
2021-05-26,14.09,1.69,20.73,2.13,,3.06,4.037232079489,0.8210659898477157,0.9086294416243654,0.3164128595600677,0.4966159052453469
2021-05-27,14.12,1.7,20.91,2.15,,3.0725,4.00965297450425,0.827834179357022,0.926818950930626,0.32952622673434856,0.5203045685279187
2021-05-28,14.1,1.69,20.83,2.13,,3.0825,4.009698581560285,0.823181049069374,0.9073604060913706,0.3240270727580372,0.4970389170896785
2021-05-31,14.09,1.69,21.03,2.16,,3.045,4.052232079488999,0.8189509306260575,0.9069373942470389,0.33756345177664976,0.5372250423011844
2021-06-01,14.12,1.7,21.06,2.16,,3.04,4.0421529745042495,0.8274111675126904,0.9263959390862944,0.3413705583756345,0.5376480541455161
2021-06-02,14.01,1.68,20.89,2.14,,3.065,4.072758743754461,0.7965313028764806,0.8802876480541455,0.3286802030456853,0.5088832487309645
2021-06-03,13.93,1.67,20.86,2.14,,3.055,4.123750897343863,0.7741116751269036,0.8532148900169205,0.32614213197969544,0.5093062605752962
2021-06-04,13.99,1.68,20.92,2.15,,3.0925,4.055462830593282,0.7901861252115059,0.8798646362098139,0.33375634517766495,0.5232656514382402
2021-06-07,13.99,1.68,21.01,2.16,,3.11,4.0379628305932815,0.7897631133671743,0.8794416243654822,0.338409475465313,0.5406091370558376
2021-06-08,13.9,1.67,20.87,2.14,,3.11,4.084244604316547,0.7622673434856176,0.8510998307952623,0.32783417935702197,0.5097292724196277
