日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-09-16,=8118.6390,=8772.0795,=2053579195912.6704,=1589033635228,=1059198582517.6316,=4.8352,=0.0334,=7.5253,=6.2516,=5.6188
2022-09-15,=8225.2048,=8887.2224,=2076444559576.5896,=1608319214497,=1073045141788.4696,=4.9350,=0.0401,=7.5253,=6.2527,=5.6193
2022-09-14,=8507.6930,=9192.4471,=2142103659196.8804,=1666007486141,=1109723425279.6147,=5.1442,=0.0576,=7.5294,=6.2535,=5.6193
2022-09-13,=8514.8471,=9200.1770,=2143209235615.3899,=1665789161872,=1110718198629.3926,=5.2298,=0.0737,=7.5294,=6.2543,=5.6194
2022-09-09,=8525.4150,=9211.5955,=2143425840705.3301,=1667965946028,=1112035447020.5264,=5.2662,=0.0819,=7.5294,=6.2562,=5.6223
2022-09-08,=8561.8256,=9250.9366,=2151169650520.1411,=1674994179398,=1116777543579.9902,=5.2374,=0.0739,=7.5294,=6.2580,=5.6244
2022-09-07,=8628.9819,=9323.4981,=2167353207863.9695,=1686572476069,=1125462279248.9700,=5.3353,=0.0929,=7.5294,=6.2606,=5.6284
2022-09-06,=8452.0149,=9132.2877,=2123148153040.5496,=1648679850494,=1102468702479.1260,=5.1730,=0.0633,=7.5303,=6.2632,=5.6284
2022-09-05,=8346.2379,=9017.9971,=2099887861892.3604,=1627581936633,=1088766998157.9564,=5.1239,=0.0540,=7.5303,=6.2657,=5.6292
2022-09-02,=8399.8657,=9075.9412,=2113741109098.6604,=1632341234626,=1095978848983.7252,=5.1063,=0.0527,=7.5303,=6.2682,=5.6326
2022-09-01,=8351.2332,=9023.3945,=2099001656117.8896,=1622349569610,=1089767503428.2528,=4.9896,=0.0433,=7.5303,=6.2682,=5.6331
2022-08-31,=8447.4770,=9127.3846,=2121714537804.6897,=1636635776051,=1102163838055.9492,=5.0443,=0.0447,=7.5303,=6.2682,=5.6369
2022-08-30,=8566.4416,=9255.9242,=2150800684525.9700,=1661992973145,=1117221217175.1001,=5.1736,=0.0583,=7.5314,=6.2708,=5.6369
2022-08-29,=8531.3485,=9218.0066,=2140394584640.1699,=1654357572217,=1103071508998.9883,=5.2459,=0.0693,=7.5314,=6.2733,=5.6393
2022-08-26,=8523.6540,=9209.6928,=2137339544577.1599,=1641115018629,=1090517544199.3422,=5.2680,=0.0721,=7.5314,=6.2768,=5.6407
2022-08-25,=8663.0679,=9360.3276,=2165884223685.5400,=1669117924156,=1108457517073.2549,=5.4907,=0.1090,=7.5314,=6.2804,=5.6434
2022-08-24,=8717.8335,=9418.3103,=2177606332327.0903,=1678944010399,=1101104967820.3516,=5.5210,=0.1228,=7.5314,=6.2806,=5.6439
2022-08-23,=9094.9061,=9824.5269,=2267803200745.7402,=1751553502110,=1148755621924.9319,=5.7781,=0.2486,=7.5439,=6.2808,=5.6439
2022-08-22,=9134.6252,=9867.4324,=2281353711409.9502,=1759956450848,=1144438323621.7500,=5.8486,=0.2859,=7.5439,=6.2819,=5.6439
2022-08-19,=9108.0516,=9838.7270,=2275990690753.4302,=1753696258226,=1136113352376.3479,=5.8179,=0.2658,=7.5439,=6.2830,=5.6439
2022-08-18,=9341.1855,=10090.0891,=2332489551671.5400,=1798538845914,=1167190125231.7483,=6.0689,=0.4088,=7.5439,=6.2881,=5.6439
2022-08-17,=9219.2274,=9958.3534,=2300768186500.4902,=1772386652558,=1148575704181.3958,=5.9815,=0.3626,=7.5439,=6.2933,=5.6439
2022-08-16,=9187.2894,=9923.8548,=2291835441333.4297,=1766048376696,=1144376775276.6289,=5.9266,=0.3177,=7.5467,=6.2941,=5.6434
2022-08-15,=9279.0848,=10023.0096,=2314749400422.0200,=1786252455780,=1155767798602.3604,=5.9277,=0.3196,=7.5467,=6.2950,=5.6434
2022-08-12,=9236.3472,=9976.8456,=2310199357859.5898,=1774963758345,=1150899044661.5283,=5.9510,=0.3352,=7.5467,=6.2956,=5.6434
2022-08-11,=9461.2718,=10219.8030,=2367077650021.3398,=1818572690523,=1179145077782.3284,=6.1314,=0.4309,=7.5467,=6.2962,=5.6434
