日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2019-09-19,=5370.6352,=5756.7625,=645994363077.3000,=455420240845,=281487602761.0024,=4.8027,=0.9565,=4.6928,=4.3994,=3.9042
2019-09-18,=5203.4617,=5577.5699,=624824593217.8000,=440668372403,=272810842946.3879,=4.6453,=0.7727,=4.6928,=4.3517,=3.8924
2019-09-17,=5185.5745,=5558.3967,=624033559577.6001,=439577102091,=271955707468.5897,=4.6394,=0.7619,=4.6928,=4.3471,=3.8924
2019-09-16,=5356.1731,=5741.2607,=638580379778.5000,=453590446901,=280824652519.2699,=4.7476,=0.9500,=4.6928,=4.3425,=3.8924
2019-09-12,=5284.7330,=5664.6844,=631218883326.8000,=446474608710,=277083078015.3408,=4.6928,=0.8421,=4.5658,=4.2962,=3.8924
2019-09-11,=5268.4127,=5647.1907,=633000162950.2001,=444395535059,=276251231656.6986,=4.7061,=0.8889,=4.5430,=4.2499,=3.8924
2019-09-10,=5283.9259,=5663.8192,=634873232788.4000,=446372880658,=277237430279.4694,=4.7200,=0.9412,=4.5430,=4.1058,=3.8619
2019-09-09,=5408.4266,=5797.2710,=648990089656.9000,=457882950060,=284005303728.6756,=4.8250,=1,=4.5274,=3.9617,=3.8619
2019-09-06,=5110.7973,=5478.2433,=611069265032.7000,=432182907069,=268408324786.1381,=4.5430,=0.9333,=4.4471,=3.9530,=3.8619
2019-09-05,=5134.9253,=5504.1060,=614128068849,=435342231832,=269748730269.2323,=4.5658,=1,=4.3517,=3.9443,=3.8619
2019-09-04,=5100.6577,=5467.3747,=608961607561.8000,=431572420079,=268094633105.6771,=4.5274,=1,=4.3425,=3.9365,=3.8619
2019-09-03,=4958.8374,=5315.3581,=598166973799.2001,=419377365471,=260786500019.2551,=4.4471,=1,=4.3425,=3.9287,=3.8590
2019-09-02,=4832.5236,=5179.9629,=585333689335.6000,=408448357524,=254506004049.5873,=4.3517,=1,=4.2499,=3.9165,=3.8590
2019-08-30,=4646.5057,=4980.5710,=559583746542.2000,=392690356297,=244734250253.0296,=4.2499,=0.9000,=3.9617,=3.9042,=3.8590
2019-08-29,=4687.9570,=5025.0025,=569607085834.9000,=397010976934,=241232583635.8252,=4.3425,=1,=3.9443,=3.8983,=3.8590
2019-08-28,=4584.1708,=4913.7545,=518527443458.6000,=387819469825,=235394695639.7417,=3.9287,=0.7500,=3.9287,=3.8924,=3.8590
2019-08-27,=4614.5769,=4946.3467,=522158600383.3000,=390703643523,=234786331233.6132,=3.9617,=1,=3.9443,=3.8772,=3.8470
2019-08-26,=4523.1277,=4848.3227,=512936422586.2000,=383053670181,=230606283634.7314,=3.8924,=0.6667,=3.9042,=3.8619,=3.8470
