日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-01-16,=8751.4399,=9508.9300,=2942159706250.8203,=1995086815546,=1344374595811.6702,=58.2320,=0.5571,=76.7081,=57.0231,=43.1716
2025-01-15,=8996.3286,=9775.0153,=3039440583433.7500,=2044915606749,=1374035584398.7896,=57.9072,=0.5377,=76.7081,=57.0227,=43.1716
2025-01-14,=9012.8499,=9792.9666,=3037897035155.0898,=2050614603179,=1376421419782.4399,=58.1058,=0.5480,=76.7777,=57.0224,=43.0672
2025-01-13,=8712.7268,=9466.8660,=2945794409923.3198,=1985037417140,=1325833912759.0002,=55.6675,=0.4508,=76.7777,=56.9935,=43.0672
2025-01-10,=8764.4285,=9523.0428,=2949422608439.7700,=1995053949160,=1331798234848.7900,=55.5811,=0.4489,=76.7777,=57.0224,=43.0672
2025-01-09,=8798.5413,=9560.1083,=2949242720881.8804,=2003590321786,=1338370009286.9695,=56.4586,=0.4828,=76.7777,=57.0227,=43.0672
2025-01-08,=8765.2381,=9523.9225,=2933035752097.1201,=1997917227278,=1330934539745.0200,=56.3469,=0.4786,=76.7777,=57.0231,=43.0672
2025-01-07,=8751.0820,=9508.5411,=2938795238045.3203,=1996133613072,=1330172184126.7500,=56.5837,=0.4881,=76.8053,=57.0236,=43.0089
2025-01-06,=8367.0402,=9091.2581,=2805353769843.7197,=1912760899124,=1275574851789.5901,=55.2154,=0.4410,=76.8053,=57.0242,=43.0089
2025-01-03,=8403.2326,=9130.5832,=2819280600325.9795,=1917768370472,=1284526957007.0500,=55.6866,=0.4513,=76.8053,=57.0299,=43.0089
2025-01-02,=8582.1827,=9325.0225,=2878538609077.3003,=1957399918234,=1310676181976.5901,=56.7901,=0.4923,=76.8053,=57.0356,=43.0089
2024-12-31,=8989.4827,=9767.5768,=3018695927413.3799,=2046401218520,=1374535482599.8899,=59.6239,=0.6009,=76.8053,=57.0538,=43.0089
2024-12-30,=9365.2698,=10175.8906,=3145503404616.5200,=2130367838729,=1432357365039.8398,=62.2754,=0.6751,=76.8437,=57.0356,=42.9473
2024-12-27,=9328.2849,=10135.7044,=3127060619685.1699,=2121756193275,=1429275217615.0500,=62.5152,=0.6772,=76.8437,=57.0299,=42.9473
2024-12-26,=9407.8371,=10222.1423,=3145905453859.3906,=2135139271293,=1441610068208.7600,=62.7787,=0.6854,=76.8437,=57.0242,=42.9473
2024-12-25,=9246.7869,=10047.1522,=3115116410309.6001,=2101770005100,=1416186902522.7200,=61.5038,=0.6659,=76.8437,=57.0236,=42.9473
2024-12-24,=9216.3399,=10014.0699,=3089721997067.7603,=2104626805753,=1411527898677.6101,=62.5653,=0.6803,=76.8437,=57.0231,=42.9473
2024-12-23,=9091.6536,=9878.5912,=3043850920295.1895,=2076801621481,=1392423354445.0701,=61.9628,=0.6731,=76.8580,=57.0227,=42.9089
2024-12-20,=9223.9437,=10022.3318,=3068599752052.7300,=2111489742127,=1410045323266.6499,=62.4399,=0.6775,=76.8580,=57.0224,=42.9089
2024-12-19,=8941.5466,=9715.4915,=2940178050509.3799,=2046814487362,=1366112750119.7805,=61.3989,=0.6633,=76.8580,=56.9935,=42.9089
2024-12-18,=8738.9900,=9495.3970,=2874434270230.8701,=2005613814289,=1335664849456.6399,=60.5112,=0.6012,=76.8580,=56.9646,=42.9089
2024-12-17,=8498.5700,=9233.0436,=2806090064500.1396,=1950488187896,=1302155504318.5403,=59.2465,=0.5514,=76.8580,=56.9588,=42.9089
2024-12-16,=8561.9500,=9301.9043,=2818925678956.6299,=1962777459837,=1311286967554.8701,=59.7643,=0.5712,=77.2481,=56.9530,=42.8894
2024-12-13,=8680.2600,=9430.4382,=2844152171880.7998,=1986295707167,=1316384585139.0798,=59.5247,=0.6026,=77.2481,=56.9020,=42.8894
2024-12-12,=8828.9800,=9592.0113,=2910522050673.4297,=2020481683750,=1339181970093.3398,=60.5520,=0.6349,=77.2481,=56.8509,=42.8894
2024-12-11,=8747.8254,=9503.8411,=2883081138182.2100,=2002583934879,=1329453987626.3799,=60.4464,=0.6315,=77.2481,=56.8480,=42.8894
2024-12-10,=8808.5494,=9569.8130,=2908734288992.6401,=2011836333521,=1339449176399.1702,=60.4203,=0.6304,=77.2481,=56.8451,=42.8894
2024-12-09,=8752.7685,=9509.2114,=2884609160079,=1999893774985,=1330699052780.3899,=60.1802,=0.6208,=77.3029,=56.8447,=42.8520
2024-12-06,=8908.9219,=9678.8601,=2938599770942.3301,=2035399657535,=1354051610610.4702,=61.1632,=0.6555,=77.3029,=56.8443,=42.8520
2024-12-05,=8803.7327,=9564.5801,=2902121283182.6504,=2012590167958,=1335615801685.2000,=60.3895,=0.6288,=77.3029,=56.8356,=42.8520
2024-12-04,=8831.2665,=9594.4935,=2913558207593.0601,=2018244875376,=1341578578964.8296,=60.7672,=0.6410,=77.3029,=56.8269,=42.8520
2024-12-03,=8800.2554,=9560.8023,=2902520266790.1494,=2015702349438,=1334784929982.6802,=60.7728,=0.6415,=77.3029,=56.8061,=42.8520
2024-12-02,=8945.5489,=9718.6525,=2952449916629.2798,=2048191331377,=1358424676935.2100,=61.5036,=0.6638,=77.3251,=56.7852,=42.7714
2024-11-29,=8889.3180,=9657.5620,=2939778019751.1802,=2035429924431,=1350103040274.6899,=60.8495,=0.6440,=77.3251,=56.7723,=42.7714
2024-11-28,=8719.7003,=9473.2854,=2878691872031.4404,=1996007505291,=1324487665907.9399,=59.7228,=0.6125,=77.3251,=56.7593,=42.7714
2024-11-27,=8740.9357,=9496.3560,=2886161222626.2100,=2001966860474,=1329135988277.7300,=60.1511,=0.6231,=77.3251,=56.7119,=42.7714
2024-11-26,=8448.4641,=9178.6080,=2789206245375.7896,=1937079818818,=1287446056562.4702,=58.5022,=0.5720,=77.3251,=56.6645,=42.7714
2024-11-25,=8512.9681,=9248.6866,=2811701364759.8501,=1952826854838,=1297216497103.2097,=59.0723,=0.6006,=77.3480,=56.6544,=42.7607
2024-11-22,=8659.5189,=9407.9028,=2862698434854.5503,=1981596984235,=1319874065321.3701,=59.7389,=0.6136,=77.3480,=56.6443,=42.7607
2024-11-21,=9056.6677,=9839.3745,=2996513035815.8804,=2071113128488,=1380660680962.7200,=62.5167,=0.6729,=77.3480,=56.6414,=42.7607
2024-11-20,=8994.7601,=9772.1167,=2973768429015.5898,=2058248425235,=1374894952482.0098,=62.5501,=0.6743,=77.3480,=56.6385,=42.7607
2024-11-19,=9018.7534,=9798.1836,=2985287700200.0601,=2061314214946,=1380006413071.5601,=62.8084,=0.6795,=77.3480,=56.6276,=42.7607
2024-11-18,=8748.5183,=9504.5939,=2894268495688,=1997791049782,=1338457692435.6702,=60.7225,=0.6407,=77.7127,=56.6168,=42.7097
2024-11-15,=8940.5242,=9713.1935,=2954773219084.2998,=2001537713283,=1368329118412.3701,=62.5925,=0.6751,=77.7127,=56.5936,=42.7097
2024-11-14,=9348.0966,=10155.9896,=3078273428469.4102,=2094739667885,=1431292892351.1499,=65.7137,=0.7055,=77.7127,=56.5705,=42.7097
2024-11-13,=9696.1045,=10534.0735,=3187543128622.3799,=2174512080363,=1486073326221.0400,=68.2934,=0.7155,=77.7127,=56.5602,=42.7097
2024-11-12,=9679.3586,=10515.8803,=3184314491093.1602,=2167570834890,=1488009768244.0901,=67.7783,=0.7137,=77.7127,=56.5499,=42.7097
2024-11-11,=9934.7198,=10793.3106,=3278428680411.9897,=2219697322958,=1527451085605.9700,=69.6143,=0.7253,=77.8120,=56.5453,=42.6619
2024-11-08,=9330.0701,=10136.4051,=3090823798404.5903,=2080413390964,=1431532583718.5698,=64.7822,=0.6983,=77.8120,=56.5407,=42.6619
2024-11-07,=9342.3427,=10149.7383,=3102678302993.4004,=2078945323864,=1427847229623.4502,=64.3099,=0.6949,=77.8120,=56.5192,=42.6619
2024-11-06,=9052.7256,=9835.0916,=2980563530104.7002,=2016084092387,=1383927767539.5903,=62.7580,=0.6820,=77.8120,=56.4978,=42.6619
2024-11-05,=8941.3933,=9714.1375,=2948039654633.1597,=1994561405750,=1368671140608.3799,=62.1659,=0.6762,=77.8120,=56.4928,=42.6619
2024-11-04,=8526.1022,=9262.9556,=2788779757766.4502,=1905684407854,=1305363103210.0300,=59.6806,=0.6189,=77.8436,=56.4878,=42.6322
2024-11-01,=8367.2758,=9090.4029,=2737542733503.6904,=1871065998157,=1280137731587.8401,=58.6335,=0.5892,=77.8436,=56.4865,=42.6322
2024-10-31,=8698.1004,=9449.8184,=2841947004142.1704,=1944896117354,=1328597233119.9497,=60.8934,=0.6500,=77.8436,=56.4853,=42.6322
